Name,Nominal Frequency,Actual Frequency,Resistance
PB20.13.28_Comb21Ch02,1660385.136493,1660385.1318359375,0.17400553493635387
PB20.13.28_Comb28Ch02,1720657.353289,1720657.3486328125,0.25573845685723245
PB20.13.15_Comb06Ch02,2143478.398211,2143478.3935546875,8.218535426390835
PB20.13.11_Comb11Ch02,1687316.899188,1687316.89453125,0.28123310638807175
PB20.13.11_Comb28Ch02,1723403.935321,1723403.9306640625,0.284642362424366
PB20.13.15_Comb22Ch02,1693801.884539,1693801.8798828125,0.32566511659857217
PB20.13.28_Comb05Ch02,1748046.879657,1748046.875,0.203302974200956
PB20.13.12_Comb12Ch02,1687622.074969,1687622.0703125,0.264467524158242
PB20.13.15_Comb24Ch02,1723098.759539,1723098.7548828125,0.2256121588931744
PB20.13.15_Comb30Ch02,1711502.079852,1711502.0751953125,0.4034524315700988
PB20.13.12_Comb21Ch02,1767425.541766,1767425.537109375,0.3345487219001675
PB20.13.15_Comb08Ch02,1734390.263446,1734390.2587890625,0.11708076144472403
PB20.13.15_Comb13Ch02,1679611.210711,1679611.2060546875,0.13947407748213383
PB20.13.13_Comb07Ch02,1690444.950946,1690444.9462890625,0.14007837996819006
PB20.13.28_Comb17Ch02,1683578.495868,1683578.4912109375,0.13022487296908303
PB20.13.28_Comb29Ch02,1718444.828875,1718444.82421875,0.24349079102802326
PB20.13.12_Comb29Ch02,1651992.802508,1651992.7978515625,0.17307946542659425
PB20.13.13_Comb24Ch02,1686630.25368,1686630.2490234375,0.17985186154216026
PB20.13.31_Comb17Ch02,1708297.734149,1708297.7294921875,0.14809396284732254
PB20.13.10_Comb16Ch02,1711654.667743,1711654.6630859375,0.3446448054007127
PB20.13.10_Comb24Ch02,1657562.260516,1657562.255859375,0.6989746579441999
PB20.13.12_Comb23Ch02,1635437.016375,1635437.01171875,0.23476150428307008
PB20.13.11_Comb16Ch02,1674423.22243,1674423.2177734375,0.12240605694329763
PB20.13.10_Comb28Ch02,1671905.522235,1671905.517578125,0.17533345150508797
PB20.13.10_Comb26Ch02,1672286.991961,1672286.9873046875,0.26219958492530293
PB20.13.15_Comb21Ch02,1716613.774188,1716613.76953125,0.3407394699972104
PB20.13.28_Comb23Ch02,1683502.201922,1683502.197265625,0.3318988537769575
PB20.13.28_Comb04Ch02,1759796.147235,1759796.142578125,0.20935399392954282
PB20.13.15_Comb26Ch02,1732635.502703,1732635.498046875,0.19458358571214793
PB20.13.15_Comb10Ch02,1647949.223407,1647949.21875,0.22197137265141162
PB20.13.31_Comb15Ch02,1645050.053485,1645050.048828125,0.5481091762625122
PB20.13.31_Comb12Ch02,1690063.481219,1690063.4765625,0.16900208474586836
PB20.13.13_Comb03Ch02,1752166.752703,1752166.748046875,0.33601621417089916
PB20.13.10_Comb01Ch02,1680831.913836,1680831.9091796875,0.2784835182154559
PB20.13.12_Comb09Ch02,1688766.484149,1688766.4794921875,0.2120582688438231
PB20.13.28_Comb30Ch02,3674316.410907,3674316.40625,113.92873735264024
PB20.13.31_Comb21Ch02,1675720.2195,1675720.21484375,0.12532004522819126
PB20.13.11_Comb13Ch02,1699523.930438,1699523.92578125,0.1579027487269602
PB20.13.15_Comb04Ch02,1641387.94411,1641387.939453125,0.38011720747877925
PB20.13.28_Comb24Ch02,1673660.282977,1673660.2783203125,0.21992500882549798
PB20.13.12_Comb27Ch02,1693725.590594,1693725.5859375,0.19828859023229742
PB20.13.31_Comb19Ch02,1656112.675555,1656112.6708984375,0.23628577473376572
PB20.13.31_Comb28Ch02,1711883.549578,1711883.544921875,0.17168792958444443
PB20.13.12_Comb01Ch02,1785202.031024,1785202.0263671875,0.14326300656568608
PB20.13.11_Comb03Ch02,1656570.439227,1656570.4345703125,0.4041862647728885
PB20.13.11_Comb24Ch02,3905715.947039,3905715.9423828125,66.3186665001339
PB20.13.11_Comb06Ch02,1775436.406024,1775436.4013671875,0.21212648938658601
PB20.13.10_Comb02Ch02,1732025.151141,1732025.146484375,0.15460784704148237
PB20.13.10_Comb17Ch02,1751174.931414,1751174.9267578125,0.2035590206860317
PB20.13.13_Comb02Ch02,1683425.907977,1683425.9033203125,0.3671846465305964
PB20.13.13_Comb19Ch02,1747741.703875,1747741.69921875,0.1417995489095561
PB20.13.13_Comb06Ch02,1715087.895282,1715087.890625,0.3297514925644489
PB20.13.28_Comb26Ch02,1676406.865008,1676406.8603515625,0.17174232486589963
PB20.13.12_Comb08Ch02,1682052.616961,1682052.6123046875,0.14453035245968315
PB20.13.11_Comb17Ch02,1682357.792743,1682357.7880859375,0.23410957493083928
PB20.13.15_Comb14Ch02,1728820.805438,1728820.80078125,0.22878063444733007
PB20.13.10_Comb19Ch02,1676712.040789,1676712.0361328125,0.2992758291014013
PB20.13.15_Comb23Ch02,1679534.916766,1679534.912109375,0.6838482300921009
PB20.13.15_Comb11Ch02,1747512.822039,1747512.8173828125,0.37787466909075934
PB20.13.28_Comb06Ch02,1696243.290789,1696243.2861328125,0.2825007939161756
PB20.13.12_Comb25Ch02,1641769.413836,1641769.4091796875,0.4590914596005972
PB20.13.15_Comb07Ch02,1686248.783953,1686248.779296875,0.21983174409391498
PB20.13.13_Comb23Ch02,1752395.634539,1752395.6298828125,0.2516403816522194
PB20.13.11_Comb08Ch02,1716690.068133,1716690.0634765625,0.2039768186295296
PB20.13.31_Comb29Ch02,1754760.746844,1754760.7421875,0.40969858033471107
PB20.13.13_Comb30Ch02,1694488.530047,1694488.525390625,0.1904501064555783
PB20.13.28_Comb18Ch02,1739196.782,1739196.77734375,0.21273692560967652
PB20.13.31_Comb11Ch02,1691665.654071,1691665.6494140625,0.26738120393865367
PB20.13.12_Comb03Ch02,1689682.011493,1689682.0068359375,0.15023387770993055
PB20.13.12_Comb05Ch02,1662673.954852,1662673.9501953125,0.21506342922434285
PB20.13.10_Comb07Ch02,1686859.135516,1686859.130859375,0.3524117397422407
PB20.13.13_Comb29Ch02,1733016.97243,1733016.9677734375,0.3342435207861787
PB20.13.11_Comb29Ch02,2186050.419696,2186050.4150390625,1.1725113687936488
PB20.13.13_Comb27Ch02,1658782.963641,1658782.958984375,0.34620036104383384
PB20.13.13_Comb17Ch02,1735534.672625,1735534.66796875,0.1145966238888805
PB20.13.13_Comb26Ch02,1689605.717547,1689605.712890625,0.16455584156460415
PB20.13.12_Comb28Ch02,1635818.486102,1635818.4814453125,0.19464029090191395
PB20.13.28_Comb22Ch02,1748123.173602,1748123.1689453125,0.20984600162674188
PB20.13.31_Comb13Ch02,1715698.246844,1715698.2421875,0.30423145502776433
PB20.13.10_Comb15Ch02,2128982.548602,2128982.5439453125,17.168118401602346
PB20.13.13_Comb12Ch02,1685714.726336,1685714.7216796875,0.1926662599651247
PB20.13.11_Comb18Ch02,1704635.624774,1704635.6201171875,0.14833713962865272
PB20.13.12_Comb07Ch02,1706161.50368,1706161.4990234375,0.3127701045172781
PB20.13.31_Comb20Ch02,1674575.810321,1674575.8056640625,0.325077839776679
PB20.13.11_Comb20Ch02,1726379.399188,1726379.39453125,0.26287196565564236
